boolean-1,date-1,float-1,geo-obj-1/coordinates/0,geo-obj-1/coordinates/1,geo-obj-1/type,int-1,markdown-text-1,option-1,text-1,textarea-1,url-1
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
true,2025-12-01T00:00:00+09:00,1.11,139.6917,35.6895,Point,111,markdown111,a,text111,textarea111,http://111.com/
